"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par semaine","bien","très bien","bien","bien","bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","Avocats corses bio ","","oui","X","","X","","","X","","","X","X","","","","","X","X","","","","","","","","X","X","","","","une fois par mois","","","","","","","","","","X","","","X","","X","","","","","","X","X","","","","","X","X","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Je n'ai pas pu me rendre disponible ces jours là ","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","bien","bien","très bien","très bien","bien","","","",""
"entre 20 et 30 ans","étudiant.e","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","bien","très bien","très bien","pas terrible","très bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","épices, davantage de variétés en vrac","","non","","","","","","X","X","","","","","","","","","","","","","","","","","X","X","","X","X","une fois par mois","","","","","","","","X","","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","","","X","","X","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","Système de parrainage/marrainage ?","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","","","","Merci aux différents groupes qui s'investissent beaucoup dans ce beau projet !"
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","bien","bien","bien","très bien","bien","bien","bien","bien","bien","très bien","très bien","Certains produits ont disparu des rayonnages, comme le papier essuie-tout ou les protège-slip depuis plusieurs semaines :'(","Je fais mes courses le samedi matin et cela fait deux mois que les rayonnages sont quasiment vides (produits frais et légumes) ","oui","","","X","","","X","","","","","","","","","","X","","","","","","","X","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","","","","","X","X","","","","","","","","","","","","","","","","","X","X","X","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Je vous envoie beaucoup d'amour et d'admiration pour tout le travail accompli <3"
"entre 20 et 30 ans","étudiant.e","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","pas terrible","très bien","pas d'avis","pas terrible","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","très bien","très bien","pas d'avis","","","oui","X","X","X","X","X","","","","X","X","","X","X","","X","X","","X","X","","X","X","","","","","","","plus d'une fois par mois","","","","","","","","X","X","X","","","","X","","X","","","","","","","","X","X","","","","","X","X","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","oui","oui","X","","X","","X","","","","colinegagn@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par semaine","bien","pas terrible","mauvais","bien","bien","pas terrible","très bien","très bien","pas d'avis","bien","bien","bien","bien","bien","pas terrible","","","oui","X","X","","X","X","","","","X","","","X","X","","","","X","","X","X","X","","","","","","","","plus d'une fois par mois","","","","","","","","","","","","","X","X","","X","X","","","X","X","X","X","X","X","","","","X","X","X","X","X","X","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","très bien","pas d'avis","","","",""
"entre 40 et 50 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par semaine","pas terrible","très bien","très bien","pas terrible","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","savon liquide, lessive, liquide vaisselle sans vrac","réduire le produits avec emballages en plastique","oui","X","","","","X","","","X","","X","","","","","","","","","","X","","X","","","","","","","une fois par mois","","","","","","","","","X","","","","X","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","X","","","","le theme zero dechet","non","oui","X","","","","X","","","","quimelania@yahoo.it","oui tout à fait","","j’y ai déjà accès","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","bien","bien","bien","très bien","très bien","très bien","bien","très bien","bien","bien","très bien","bien","très bien","très bien","très bien","sur commande peut être et de temps en temps un peu de bonne viande ou bon poisson","une place de parking sur un créneau par exemple réservé à l'avance pendant 1 heure ou 2 et ce 1 ou 2 fois par mois (pour les per","oui","","X","","","","","","","","","X","X","X","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","X","","","","","","","","","X","X","X","","","","","","","","","","","","","","","","oui","","","","","","","non","","","X","","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","peut être faudrait il intégrer l'idée qu'il y a un réservoir de coopérateurs un peu plus excentrés ... qui pourraient aussi s'or"
"entre 30 et 40 ans","auto-entrepreneu.r.se","un homme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","mauvais","bien","bien","bien","pas terrible","bien","pas d'avis","pas d'avis","pas d'avis","pas terrible","très bien","mauvais","très bien","très bien","bien","","","non","","X","","X","","X","X","","","","","","X","","","","","","X","","","","X","","","X","","","moins d'une fois par mois","","","","","","","","","","","X","","","X","","X","","X","X","","","","","","X","","","","","","X","","","","X","","","X","","","oui","","","","","","","oui","","","","","","","La possibilité de parler même si on suit le projet de loin","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Des supers produit aux meilleurs prix dans une bonne ambiance: voila comment je vois le super cafoutch et pourquoi j’y suis "
"plus de 60 ans","retraité.e","une femme","entre 6 mois et un an","une fois par mois","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","bien","très bien","très bien","très bien","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","","plus de vrac quand on passera en super cafouch","oui","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","je suis souvent prise mais ca va s ameliorer!","","oui sur les producteurs","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","bien","pas d'avis","pas d'avis","très bien","très bien","très bien","très bien","","","","franchement , sans salarié je suis un peu perdue ; ce serait bon d avoir quelqu un qui centralise les infos; d ailleurs tout ne "
"entre 20 et 30 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","très bien","très bien","bien","très bien","bien","bien","très bien","bien","bien","très bien","bien","Chcolat Vrac, liquide vaisselle vrac, ","Plus de vrac, un espace de travail convivial pour prendre une bière et aider en même temps","oui","X","","X","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","une fois par mois","","","","","","","","","","","X","","X","X","X","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","oui","","","","","","","oui","","","","","","","La motivation !","Selon les actualités, comme c'est fait aujourd'hui","oui","non","","","","","","","","","","oui tout à fait","Si les gens sont d'accords, un annuaire des membres avec nom, prénom et photo","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","","","","Un grand local à Colbert ou rue de la République ! :)"
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","très bien","bien","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","oui plein!!!","des horaires d'ouverture en journée","non","","X","","X","X","","","","","","","X","","","","","","X","","","X","","","","","","","","plus d'une fois par mois","","","","","","","","","","","","","X","X","X","X","X","X","X","","X","","","X","","","X","","","X","","","X","","","X","","","X","","oui","","","","","","","oui","","","","","","","faire le point sur la marche du SC, donner son avis ","","oui","oui","","","","X","X","","","","anquetil.jeanine@gmail.com","oui tout à fait","","j’y ai déjà accès","bien","bien","bien","bien","bien","bien","bien","bien","organiser des visites chez nos producteurs","non","","à l'heure actuelle je trouve qu'il n'y a pas asssez de produits bio!"
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","bien","pas terrible","pas terrible","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","bien","bien","bien","bien","bien","bien","pas terrible","du bio, à un prix correct pour tout le monde","on verra plus tard pour l'approvisionnement régulier, surtout","non","X","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","une fois par mois","","","","","","","","X","","","","","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","oui","","","","","","","non","","X","","","","","","je suis investie ailleurs, je ne pourrai pas faire +","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","bien","","","","je suis militante par ailleurs et, en dehors de mes 3h, je ne peux pas participer +, mais CHAPEAU ! On continue !"
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","bien","bien","bien","pas d'avis","bien","bien","bien","bien","bien","pas terrible","bien","pas d'avis","bien","pas terrible","pas terrible","Oui","Moins d’emballage plastique. Du vrac en liquide. Du pain frais. ","non","X","X","X","X","X","X","X","","X","","","X","","","X","","","X","","","X","","","X","","","X","","plus d'une fois par mois","","","","","","","","","X","","","","X","","X","","X","","X","","X","","","","","","X","","","","","","X","","","","","","X","","oui","","","","","","","non","","","X","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Concert bal ","non","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","oui","X","","","","","X","","","","X","","","","","","","","","","","","","","X","","","","","je n'ai jamais fait de créneau","X","X","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","Animation zéro déchet . Pour petits et grands. Partage de plantes et boutures. ","non","","La visibilité du site internet"
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","très bien","très bien","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","","","oui","X","X","X","X","","","","X","","X","X","X","X","X","X","X","X","","X","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","X","X","X","","X","X","","X","","","X","X","","","X","","","","","","X","","","","","","","","","X","","X","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","Je n'ai malheureusement pas le temps de m'y consacrer","non","","Tout est parfait, bravo [et merci] à ceux qui s'impliquent autant ! "
